epoch,train_loss,val_acc,lr
1,1.1592523758752005,0.561875,0.0005049711867796923
2,0.9870644310542516,0.7,0.0008152935179296349
3,0.8893721689496722,0.77625,0.0013173941170393846
4,0.8243633392878941,0.735625,0.0019893121108708837
5,0.809286151102611,0.820625,0.002801659153911162
6,0.8308596614428929,0.706875,0.0037189048156665095
7,0.8042589688301086,0.569375,0.0047009306104356776
8,0.8883842279229845,0.3575,0.005704784699416507
9,0.8305849029336657,0.834375,0.006686560517994844
10,0.7796839358125414,0.498125,0.007603317160825783
11,0.7822394491944994,0.715,0.008414957530915104
12,0.7650734230450221,0.729375,0.009085982106226726
13,0.7481363144942692,0.824375,0.009587041617581985
14,0.7618892112800053,0.7525,0.00989622072683329
15,0.7508707846914019,0.853125,0.009999999888487368
16,0.718287855386734,0.78375,0.009996546182401702
17,0.7460539402280535,0.875,0.009986267822563252
18,0.6780935505458286,0.833125,0.009969178847975213
19,0.7005686732700893,0.795,0.00994530260012131
20,0.6860522488185338,0.850625,0.009914671691084129
21,0.6663044692788805,0.878125,0.009877327959000948
22,0.6688795610836574,0.83,0.009833322410917859
23,0.6720407797609057,0.785625,0.00978271515312029
24,0.6472237844126565,0.894375,0.009725575309035048
25,0.6288868502208165,0.898125,0.009661980924816025
26,0.6425486506734576,0.885,0.00959201886274255
27,0.6171909740992955,0.8275,0.009515784682575953
28,0.6334486596924918,0.88375,0.009433382511036436
29,0.5935677356379373,0.915625,0.009344924899578487
30,0.5939461273806436,0.9225,0.009250532670659145
31,0.5855219287531717,0.9175,0.009150334752709046
32,0.6053598298345293,0.86,0.009044468004031693
33,0.5648022987161364,0.93125,0.008933077025871494
34,0.5601448697703225,0.934375,0.00881631396490583
35,0.5715840065479278,0.94,0.008694338305431015
36,0.554785122190203,0.936875,0.008567316651525924
37,0.5913344396863665,0.911875,0.008435422499490855
38,0.5875400229862758,0.91375,0.008298836000872464
39,0.5810381262642996,0.929375,0.008157743716398413
40,0.5260365780762264,0.9375,0.008012338361157863
41,0.5351969924994877,0.935625,0.007862818541375834
42,0.5653173766817365,0.935625,0.007709388483141004
43,0.5607693358830044,0.936875,0.007552257753457423
44,0.5273707488604954,0.93375,0.0073916409740012075
45,0.5793427312374115,0.904375,0.007227757527973135
46,0.5517142503602164,0.9375,0.0070608312604475915
47,0.5137645985398974,0.94,0.006891090172627113
48,0.5204017896311623,0.940625,0.00671876611042018
49,0.5671493802751814,0.933125,0.0065440944477675855
50,0.5192931136063167,0.934375,0.00636731376514995
51,0.5369515466690064,0.941875,0.00618866552371548
52,0.5411802531991686,0.94375,0.006008393735473085
53,0.5007699874469212,0.945,0.005826744630001323
54,0.5503595561640603,0.940625,0.005643966318128415
55,0.5421311748027802,0.941875,0.005460308453042701
56,0.5365300342014858,0.93375,0.005276021889296409
57,0.4962514662742615,0.940625,0.005091358340168514
58,0.5402157282829285,0.93875,0.004906570033854675
59,0.5275731194019317,0.94,0.0047219093689538656
60,0.4991392743587494,0.941875,0.004537628569722236
61,0.49920156053134374,0.943125,0.004353979341565129
62,0.5172099215643746,0.94375,0.004171212527237769
63,0.4958834559576852,0.940625,0.003989577764224227
64,0.4878056790147509,0.945625,0.003809323143762655
65,0.5331711329732622,0.94375,0.003630694871982484
66,0.5192368403502873,0.944375,0.003453936933616482
67,0.5049320379325322,0.940625,0.003279290758746943
68,0.5171440354415349,0.948125,0.003106994893041236
69,0.5300048327445984,0.94625,0.002937284671927132
70,0.5152584488051278,0.94875,0.0027703918991529002
71,0.5022343393734523,0.946875,0.0026065445301712755
72,0.5053826497282301,0.94375,0.0024459663607797385
73,0.5279533287457058,0.94875,0.0022888767214423616
74,0.5166319862433842,0.943125,0.0021354901777107913
75,0.507361466373716,0.946875,0.001986016237153503
76,0.5114120612825667,0.945625,0.0018406590631936687
77,0.4882979438986097,0.950625,0.001699617196246477
78,0.5014620121887752,0.945625,0.0015630832825368104
79,0.49086646812302726,0.9475,0.0014312438109676693
80,0.5219297109331403,0.9475,0.0013042788583987718
81,0.5045112676279886,0.945,0.0011823618436832125
82,0.4982147114617484,0.94375,0.0010656592907981792
83,0.49330141578401837,0.9475,0.0009543306013932248
84,0.481573794058391,0.94625,0.0008485278370667842
85,0.48254834038870675,0.94875,0.0007483955116683352
86,0.48844162021364484,0.945625,0.0006540703939098499
87,0.4977210279873439,0.946875,0.0005656813205561886
88,0.5180386413846697,0.9475,0.0004833490204495841
89,0.49526514155524115,0.946875,0.00040718594960855256
90,0.5114819819586618,0.9475,0.0003372961376265093
91,0.509792264189039,0.94625,0.00027377504557985166
92,0.51178741812706,0.946875,0.00021670943563961514
93,0.48194231220654077,0.945625,0.00016617725256478163
94,0.4994336497783661,0.945625,0.00012224751723911463
95,0.5117976592268263,0.94625,8.498023239693416e-05
96,0.49912272487367904,0.945625,5.442630066660175e-05
97,0.47542962414877754,0.945625,3.0627455043648876e-05
98,0.508944080557142,0.9475,1.3616201888526743e-05
99,0.5156003303187234,0.945625,3.4157765268295474e-06
100,0.5089418770585741,0.945625,4.011151263216357e-08
